name,difficulty
Easy Green Chile Enchiladas,Easy
Bacon-Wrapped Scallops with Chili Butter,Medium
Spicy Stewed Beef with Creamy Cheddar Grits,Hard
Vegetarian Lettuce Wraps,Easy
Grillin’ Recipe Contest Winners!,Easy
Spicy Beans,Hard
Frito Chili Pie,Hard
Caveman Pops (aka Roasted Turkey Legs),Hard
Beef with Peppers,Medium
Beef Noodle Salad Bowls,Easy
Beef and Bean Burritos,Easy
Chicken Tortilla Soup,Hard
My Brother’s Chicken Tacos,Medium
Simple Sesame Noodles,Easy
Corn Chowder with Chilies,Medium
Creamy Cheese Grits with Chilies,Medium
Big Steak Salad,Easy
Butternut Squash &amp; Kale Quesadillas,Medium
Restaurant Style Salsa,Easy
Passover Brisket,Hard
Sloppy Joes,Medium
Butternut Squash Risotto,Hard
"Chicken Tikka Masala, by Pastor Ryan",Hard
Fresh Corn and Avocado Salsa,Easy
White Chicken Enchiladas,Hard
Good Ol’ Basic Mexican Rice,Easy
Lazy Chiles Rellenos,Medium
White Chili,Hard
Enchiladas,Hard
Mexican Layer Dip,Easy
What I Made for Lunch on Saturday,Medium
Leftover Brisket Tostadas,Easy
Cooking With Pastor Ryan: Delicious Mexican Lasagna,Hard
Spicy Shredded Pork,Hard
Salad Tacos,Easy
Thai Chicken Wraps,Medium
Beef Fajitas,Hard
Pioneer Woman’s Favorite Sandwich,Easy
Chocolate Calypso Beans (remix),Unknown
Green Curry with Tofu,Unknown
Wild Mushroom Salad Recips,Unknown
Fresh Apple Salsa,Unknown
Pierce Street Vegetarian Chili Recipe,Unknown
Vegetarian Tortilla Soup Recipe,Unknown
Bourbon Baked Sweet Potatoes,Unknown
Red Rice Salad with Boiled Eggs and Macadamias,Unknown
Rajasthani Buttermilk Curry Recipe,Unknown
Roasted Cauliflower Recipe,Unknown
Sweet Potato Pot Pie Recipe,Unknown
Slurp-tastic Herb Noodles Recipe,Unknown
Borlotti Bean Mole with Roast Winter Squash,Unknown
Pappardelle with Spiced Butter,Medium
A Good Soup for the Sick,Unknown
Lively Up Yourself Lentil Soup Recipe,Unknown
Palak Daal,Hard
Salsa of the Year,Unknown
A Quartet of Compound Butters,Unknown
My Favorite Grilled Kabob Recipe,Unknown
Pineapple Rice Recipe,Easy
Red Posole Recipe,Hard
Dried Fava Soup with Mint and Guajillo Chiles,Hard
Ottolenghi Soba Noodles,Medium
Cucumber Peanut Salad,Easy
Sunchoke and Cashew Stir-fry,Easy
Baked Carrot Oven Fries,Unknown
Fourth of July Roasted Tomato Salsa Recipe,Unknown
Sunburst Carrot Salad Recipe,Unknown
In a Hurry Green Curry Recipe,Unknown
Lime &amp; Peanut Coleslaw Recipe,Unknown
Pepita Salad Recipe,Unknown
Lentil Almond Stir-Fry Recipe,Unknown
Adzuki Butternut Squash Soup Recipe,Unknown
Carrot Soup Recipe,Unknown
Fresh Pea Salad Recipe,Unknown
Green Curry Broth,Medium
Zucchini Pickles,Hard
Spiced Cauliflower with Sesame Seeds,Medium
Green Pea Soup Recipe,Easy
Spicy Lemon Coconut Sauce,Unknown
Yellow Bean Salad,Easy
New Year Noodle Soup,Medium
Moroccan Mint Roasted Vegetables,Easy
A Simple Tomato Soup,Medium
Broccolini Salad,Easy
Pumpkin and Rice Soup,Medium
Posole in Broth,Hard
Brazil Nut Butter Cups Recipe,Unknown
Baked Egg Recipe,Unknown
A Tasty Frittata Recipe,Unknown
Spiced Candied Walnuts Recipe,Unknown
Monica Bhide's Chile Pea Puffs,Unknown
Golden Potstickers,Hard
